date,rm_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6
2016-12-31,0.32202288214357333,0.16919178954756872,0.1809806603929411,0.13348992563447848,0.07679512291649176,0.03344470836684367,0.0972221940488867
2017-03-31,-0.17750192588269037,-0.05665317496578755,-0.03461437255599231,-0.05915366766291568,-0.08279611844537867,0.04817577579809672,0.03401189536380771
2017-06-30,-0.13493502965016752,-0.0384275692739028,-0.09020822272996311,-0.08802264432495666,0.035250801802603926,0.04383637363177365,0.03699136788440279
2017-09-30,0.07097486775695298,-0.006473205544760641,-0.03932813239832422,0.07824107471808295,0.08048031902369916,0.08432439990354276,0.07216267397030571
2017-12-31,-0.34940164418275843,-0.16711094765944695,-0.04505338073143229,-0.016368453641009254,0.008670854927723036,0.05932156669478714,0.015503383549550971
2018-03-31,-0.17024453200226827,0.040439102632630605,0.05710169710096248,0.0547263502466161,0.09197230780731033,0.04466924998428672,-0.08399875076172658
2018-06-30,0.014067505049169341,0.01352338409475447,0.028556462050027244,0.05106603906143307,0.004737779922342206,-0.16920452813220638,-0.23096091502917374
2018-09-30,0.12433033336011044,0.06585947384790465,0.11548150743668319,0.04232552080241438,-0.12473822169365649,-0.3147755182476039,0.07991603880515308
2018-12-31,-0.11875920043583299,-0.012733816333550509,-0.05895581681209217,-0.18892175354507235,-0.36942276571339416,0.06322320278163385,-0.30024481925141794
2019-03-31,0.17480393452256965,0.030943262809024624,-0.15268905126923166,-0.2792138926277015,0.11833279338346381,-0.3984587153781571,0.03359557806895718
2019-06-30,-0.06177641415461533,-0.1688864986616906,-0.393554387647232,0.08482323752274036,-0.3954493472488888,0.04750221251245093,-0.09541792691799658
2019-09-30,-0.20382560830367025,-0.23992938893303095,0.18126685017830949,-0.31986794572578076,0.06810584553633912,-0.1450034273240602,-0.14899490887365366
2019-12-31,-0.07888554177745905,0.3171750009623552,-0.21956811088089004,0.1780381653709202,-0.04024523513783055,-0.14752925624892937,-0.08995046807552369
2020-03-31,1.2051461693526122,0.014478535902686395,0.4151369678966721,0.09065393517899141,-0.022553187889541602,-0.026719034615176964,-0.5126341012235248
2020-06-30,1.5341992254174637,1.1350070457823112,0.43649537063874777,-0.0005226279003796674,-0.19274676727185644,0.034911710645387214,-0.5354090531474494
2020-09-30,-0.1239545158077977,-0.3941369881401641,-0.18033606854373943,-0.4387200896112223,-0.39953046402562015,-0.248074629034474,-0.8146392277393913
2020-12-31,-0.6912560426233493,-1.4397532187068975,-0.8339494929271465,-0.6858402027172562,-0.5191784310171309,-0.22406415896561077,-1.0578401860201654
2021-03-31,-0.2719679175212855,-0.9238321953414386,-0.3943303233487119,-0.39279703377642095,-0.4356928645639234,0.1356308947630522,-1.155927527963997
2021-06-30,-1.1601415678096907,-1.442216565707304,-0.5816339961703714,-0.4448884085821546,-0.6565037230574104,0.6518353996098728,-1.189206057709319
2021-09-30,0.9331815516446238,0.2268953305263319,0.037055069882029515,-0.03378398132941501,-1.0962910334379667,0.6273131572852086,-1.2613410160170022
2021-12-31,-0.9482643749199433,-0.7573494167016712,0.1685415720502329,0.49146163064141063,-0.9262451483194448,1.1775412340060505,-1.0725601141115095
2022-03-31,-0.3945053874250593,0.7672008452303776,2.235240945605255,2.125940102920349,-0.50421738927751,2.5047458634854567,-0.05582370936880233
2022-06-30,-0.07739460645532824,-0.7976768793384387,1.9176447794700853,-1.050632727788239,-1.7459881426557917,0.01421016812912301,0.20914353650051015
2022-09-30,0.5376686741723579,-0.8663435973673773,3.497503068434828,-0.6690926905419231,0.8495942359644867,0.9607775886300757,0.7489391557022341
2022-12-31,0.4362663869798865,-1.411928598446877,2.056009886513873,-1.5769908758999458,-0.5154748479890074,-1.4523511665946478,0.8334626458516271
2023-03-31,-1.6994959555595666,-1.8841866442742374,0.90380360963949,-2.238330579942595,1.5032518365468694,-2.2266353383441673,0.7715576774983578
2023-06-30,1.0211551877727558,1.2352420439423695,1.9516737894484228,-0.19850380722037977,2.5035025396650856,-2.140639086952103,1.2362974965171578
2023-09-30,-0.18311689111150653,0.6876868895412529,0.3073219409486118,-0.24696321923868197,2.428797853702622,-2.0259093524807357,1.0859554411839687
2023-12-31,-0.15379526572961014,-0.2102303505651913,-0.8125029327953482,-2.5009453513134225,1.6850452835385055,-2.049699237035649,0.49296701604330595
2024-03-31,0.49867186034820254,1.5262949329139455,1.4478988064840999,-1.5172862304299963,1.9597645395911985,-1.20820474776998,0.6739587617532764
2024-06-30,0.23810929424699598,1.022409355915547,0.719815911859316,-0.7690101040785255,1.4945610694437612,-1.220813031237346,0.7625787168629788
2024-09-30,-0.018737288527802612,-0.9363035356113123,-1.063966045812853,-1.4690931050684115,0.9983024247013096,-0.9908931924556685,0.2169178017527574
2024-12-31,0.43506544787040186,1.7499773058685377,0.7755289088131162,0.4686586340088005,1.0814912044877385,0.9257564322231846,0.5036006467485973
2025-03-31,-0.9230466015374734,0.19428357709951521,-0.737759308075281,-1.1443225396004963,-0.826220189644061,-0.3377975439686137,0.29772567903456837
2025-06-30,0.360670489724604,0.9416122081996009,0.19143300453841866,-1.3325878622980123,0.3787504351008571,-0.3791139234725086,0.2857827083869815
